Timestamp          ,CPU Usage (%) ,Memory Usage (%) ,Disk Usage (%)
1737024276.685642  ,         99.7 ,             2.9 ,          47.0
1737024278.6862175 ,        100.0 ,             3.2 ,          47.0
1737024280.6868527 ,         99.5 ,             3.2 ,          47.0
1737024282.6874778 ,        100.0 ,             3.2 ,          47.0
1737024284.6880703 ,        100.0 ,             3.2 ,          47.0
1737024286.6886437 ,         99.5 ,             3.2 ,          47.0
1737024290.6897798 ,         99.7 ,             3.2 ,          47.0
1737024288.689198  ,        100.0 ,             3.2 ,          47.0
1737024292.6903374 ,        100.0 ,             3.2 ,          47.0
1737024294.6908796 ,        100.0 ,             3.2 ,          47.0
1737024296.6914527 ,         99.5 ,             3.2 ,          47.0
1737024298.6920273 ,         99.7 ,             3.2 ,          47.0
1737024300.6926353 ,        100.0 ,             3.2 ,          47.0
1737024302.693178  ,         99.7 ,             3.2 ,          47.0
1737024304.6937695 ,        100.0 ,             3.2 ,          47.0
1737024306.6943243 ,         99.8 ,             3.2 ,          47.0
1737024308.694903  ,        100.0 ,             3.2 ,          47.0
1737024310.697094  ,         98.7 ,             3.2 ,          47.0
1737024312.6976566 ,         99.7 ,             3.2 ,          47.0
1737024314.6982224 ,        100.0 ,             3.2 ,          47.0
1737024316.6987746 ,        100.0 ,             3.1 ,          47.0
1737024318.6993172 ,        100.0 ,             3.2 ,          47.0
1737024320.6999278 ,         99.2 ,             3.2 ,          47.0
1737024322.700477  ,         99.3 ,             3.2 ,          47.0
1737024324.7010605 ,        100.0 ,             3.2 ,          47.0
1737024326.701622  ,         96.5 ,             3.2 ,          47.0
1737024328.702207  ,        100.0 ,             3.2 ,          47.0
1737024330.7027597 ,         99.8 ,             3.2 ,          47.0
1737024332.703306  ,        100.0 ,             3.1 ,          47.0
1737024334.7038577 ,        100.0 ,             3.2 ,          47.0
1737024336.704423  ,         99.8 ,             3.2 ,          47.0
1737024338.7049847 ,        100.0 ,             3.2 ,          47.0
1737024340.7055538 ,        100.0 ,             3.2 ,          47.0
1737024342.7061267 ,        100.0 ,             3.2 ,          47.0
1737024344.7066898 ,        100.0 ,             3.2 ,          47.0
1737024346.707253  ,        100.0 ,             3.2 ,          47.0
1737024348.7078326 ,        100.0 ,             3.2 ,          47.0
1737024350.7083983 ,         99.5 ,             3.2 ,          47.0
