Timestamp,CPU Usage (%),Memory Usage (%),Disk Usage (%)
1737110704.0541492,0.0,2.2,44.9
1737110705.054294,26.1,2.5,44.9
1737110706.05435,74.2,2.5,44.9
1737110707.0544195,74.8,2.5,44.9
1737110708.0545454,80.7,2.5,44.9
1737110709.054615,80.5,2.4,44.9
1737110710.0546854,75.9,2.3,44.9
1737110711.0547647,75.3,2.3,44.9
1737110712.0548596,75.3,2.3,44.9
1737110713.054939,72.7,2.3,44.9
1737110714.0550258,75.3,2.3,44.9
1737110715.0550985,74.3,2.3,44.9
1737110716.0551867,75.2,2.3,44.9
1737110717.0552716,75.2,2.3,44.9
1737110718.05535,75.2,2.3,44.9
1737110719.0554411,75.3,2.3,44.9
1737110720.0555003,74.4,2.3,44.9
1737110721.055618,75.2,2.3,44.9
1737110722.0556939,74.6,2.3,44.9
1737110723.0557652,75.2,2.3,44.9
1737110724.0557938,75.0,2.3,44.9
1737110725.0558734,75.1,2.3,44.9
1737110726.0559487,75.0,2.3,44.9
1737110727.0560336,74.5,2.3,44.9
1737110728.0561209,75.2,2.3,44.9
1737110729.056213,75.1,2.3,44.9
1737110730.0562246,75.2,2.3,44.9
1737110731.0563195,75.0,2.3,44.9
1737110732.0564504,74.5,2.3,44.9
1737110733.0564504,75.2,2.3,44.9
1737110734.0565562,75.3,2.3,44.9
1737110735.0566294,75.6,2.3,44.9
1737110736.056697,74.8,2.3,44.9
1737110737.0567954,74.6,2.3,44.9
1737110738.0568957,75.3,2.3,44.9
1737110739.0569751,74.9,2.3,44.9
1737110740.0570643,75.3,2.3,44.9
1737110741.0571191,74.5,2.3,44.9
1737110742.0572143,75.2,2.3,44.9
1737110743.0573092,75.3,2.3,44.9
1737110744.0573654,75.2,2.3,44.9
1737110745.057439,75.3,2.3,44.9
1737110746.0575135,74.3,2.3,44.9
1737110747.0576215,75.1,2.3,44.9
1737110748.0576813,74.5,2.3,44.9
1737110749.0577872,75.3,2.3,44.9
1737110750.0578651,75.2,2.3,44.9
1737110751.0579202,75.0,2.3,44.9
