Timestamp,CPU Usage (%),Memory Usage (%),Disk Usage (%)
1737105604.4796185,0.0,2.4,17.5
1737105605.479619,83.3,7.8,17.5
1737105606.4796941,100.0,8.2,17.5
1737105607.4797757,100.0,8.6,17.5
1737105608.479876,100.0,9.0,17.5
1737105609.479947,100.0,9.3,17.5
1737105610.480024,100.0,9.7,17.5
1737105611.480123,100.0,10.1,17.5
1737105612.4801881,100.0,10.5,17.5
1737105613.4802775,100.0,10.9,17.5
1737105614.4803314,100.0,11.3,17.5
1737105615.4804115,100.0,11.7,17.5
1737105616.480493,100.0,12.1,17.5
1737105617.4805653,100.0,12.5,17.5
1737105618.4806461,100.0,12.9,17.5
1737105619.4807298,99.8,13.3,17.5
1737105620.4809067,100.0,13.7,17.5
1737105621.4809139,100.0,14.1,17.5
1737105622.4809892,100.0,14.5,17.5
1737105623.4810708,100.0,14.9,17.5
1737105624.4811413,100.0,15.3,17.5
1737105625.481218,100.0,15.7,17.5
1737105626.4813015,100.0,16.1,17.5
1737105627.4813707,100.0,16.5,17.5
1737105628.4814475,100.0,16.9,17.5
1737105629.4815297,100.0,17.3,17.5
1737105630.4816067,99.8,17.7,17.5
1737105631.481684,100.0,18.1,17.5
1737105632.4817636,100.0,18.5,17.5
1737105633.4818401,100.0,18.9,17.5
1737105634.4819198,100.0,19.3,17.5
1737105635.4820077,100.0,19.7,17.5
1737105636.4820857,100.0,20.1,17.5
1737105637.4821715,100.0,20.4,17.5
1737105638.4822476,100.0,20.8,17.5
1737105639.4823253,100.0,21.2,17.5
1737105640.4824116,100.0,21.6,17.5
1737105641.4824913,99.5,22.0,17.5
1737105642.482577,100.0,22.4,17.5
1737105643.4826505,100.0,22.8,17.5
1737105644.4827404,100.0,23.2,17.5
1737105645.48281,100.0,23.5,17.5
1737105646.4828815,100.0,23.9,17.5
1737105647.482973,100.0,24.3,17.5
1737105648.4830422,100.0,24.7,17.5
1737105649.483129,100.0,25.1,17.5
1737105650.4832172,100.0,25.5,17.5
1737105651.483289,100.0,25.9,17.5
