Timestamp,CPU Usage (%),Memory Usage (%),Disk Usage (%)
1737105604.4796185,0.0,2.4,17.5
1737105605.479619,83.3,7.8,17.5
1737105606.4796941,100.0,8.2,17.5
1737105607.4797757,100.0,8.6,17.5
1737105608.479876,100.0,9.0,17.5
1737105609.479947,100.0,9.3,17.5
1737105610.480024,100.0,9.7,17.5
1737105611.480123,100.0,10.1,17.5
1737105612.4801881,100.0,10.5,17.5
1737105613.4802775,100.0,10.9,17.5
1737105614.4803314,100.0,11.3,17.5
1737105615.4804115,100.0,11.7,17.5
1737105616.480493,100.0,12.1,17.5
1737105617.4805653,100.0,12.5,17.5
1737105618.4806461,100.0,12.9,17.5
1737105619.4807298,99.8,13.3,17.5
1737105620.4809067,100.0,13.7,17.5
1737105621.4809139,100.0,14.1,17.5
1737105622.4809892,100.0,14.5,17.5
1737105623.4810708,100.0,14.9,17.5
1737105624.4811413,100.0,15.3,17.5
1737105625.481218,100.0,15.7,17.5
1737105626.4813015,100.0,16.1,17.5
1737105627.4813707,100.0,16.5,17.5
1737105628.4814475,100.0,16.9,17.5
1737105629.4815297,100.0,17.3,17.5
1737105630.4816067,99.8,17.7,17.5
1737105631.481684,100.0,18.1,17.5
1737105632.4817636,100.0,18.5,17.5
1737105633.4818401,100.0,18.9,17.5
1737105634.4819198,100.0,19.3,17.5
1737105635.4820077,100.0,19.7,17.5
1737105636.4820857,100.0,20.1,17.5
1737105637.4821715,100.0,20.4,17.5
1737105638.4822476,100.0,20.8,17.5
1737105639.4823253,100.0,21.2,17.5
1737105640.4824116,100.0,21.6,17.5
1737105641.4824913,99.5,22.0,17.5
1737105642.482577,100.0,22.4,17.5
1737105643.4826505,100.0,22.8,17.5
1737105644.4827404,100.0,23.2,17.5
1737105645.48281,100.0,23.5,17.5
1737105646.4828815,100.0,23.9,17.5
1737105647.482973,100.0,24.3,17.5
1737105648.4830422,100.0,24.7,17.5
1737105649.483129,100.0,25.1,17.5
1737105650.4832172,100.0,25.5,17.5
1737105651.483289,100.0,25.9,17.5
1737150284.8762345,0.0,2.7,68.9
1737150285.8763888,69.0,7.9,68.9
1737150286.8766994,82.2,8.3,68.9
1737150287.8764064,84.3,8.6,68.9
1737150288.8764772,86.9,9.0,68.9
1737150289.876549,79.9,9.3,68.9
1737150290.876618,87.2,9.6,68.9
1737150291.876702,80.8,9.9,68.9
1737150292.876768,81.0,10.3,68.9
1737150293.8768406,83.8,10.6,68.9
1737150294.8769212,79.0,11.0,68.9
1737150295.8769987,84.9,11.3,68.9
1737150296.8770702,82.1,11.6,68.9
1737150297.8771691,81.7,11.9,68.9
1737150298.8772292,87.1,12.3,68.9
1737150299.877303,82.3,12.6,68.9
1737150300.8773785,71.8,12.9,68.9
1737150301.8774564,67.3,13.2,68.9
1737150302.8775373,78.2,13.5,68.9
1737150303.8776104,75.8,13.8,68.9
1737150304.8776882,85.5,14.1,68.9
1737150305.8777673,84.2,14.4,68.9
1737150306.8778646,83.2,14.8,68.9
1737150307.8779488,81.3,15.1,68.9
1737150308.8780293,81.0,15.4,68.9
1737150309.878098,84.6,15.7,68.9
1737150310.878175,79.4,16.0,68.9
1737150311.8782513,86.0,16.4,68.9
1737150312.8783414,84.2,16.7,68.9
1737150313.878406,81.3,17.0,68.9
1737150314.8785045,84.1,17.3,68.9
1737150315.8786228,75.7,17.6,68.9
1737150316.8786473,86.3,17.9,68.9
1737150317.8787243,86.5,18.3,68.9
1737150318.8787994,76.9,18.6,68.9
1737150319.8788848,83.8,18.9,68.9
1737150320.8790212,84.2,19.2,68.9
1737150321.8790398,86.9,19.5,68.9
1737150322.8791127,81.9,19.8,68.9
1737150323.8791947,81.0,20.2,68.9
1737150324.8792741,85.1,20.5,68.9
1737150325.879374,86.0,20.8,68.9
1737150326.879433,74.0,21.1,68.9
1737150327.8795114,82.5,21.4,68.9
1737150328.8795872,84.3,21.8,68.9
1737150329.8796792,88.6,22.1,68.9
1737150330.8797507,84.9,22.5,68.9
1737150331.8798287,81.0,22.8,68.9
1737150332.879916,80.3,23.1,68.9
1737150333.8799922,84.5,23.5,68.9
1737150334.8800812,86.3,23.8,68.9
1737150335.8801568,80.5,24.1,68.9
1737150336.8802657,82.7,24.4,68.9
1737150337.880315,81.8,24.8,68.9
1737150338.8803911,87.1,25.1,68.9
1737150339.880469,80.4,25.4,68.9
1737150340.8806012,95.2,25.8,68.9
1737150341.880623,100.0,26.2,68.9
1737150342.8806927,100.0,26.6,68.9
1737150343.880771,100.0,27.0,68.9
1737150344.8808508,85.9,27.4,68.9
1737150345.8809252,84.9,27.7,68.9
1737150346.8809984,80.5,28.0,68.9
1737150347.8810878,88.8,28.3,68.9
1737150348.8811576,82.8,28.6,68.9
1737150349.8812509,83.5,29.0,68.9
1737150350.8813195,83.7,29.2,68.9
1737150351.8813946,89.2,29.6,68.9
1737150352.8814766,88.2,30.0,68.9
1737150353.881544,75.1,30.2,68.9
1737150354.8816264,79.7,30.6,68.9
1737150355.8817143,23.3,30.7,68.9
1737150356.881797,28.6,30.8,68.9
1737150357.8818767,70.7,31.0,68.9
1737150358.8819537,79.6,31.4,68.9
1737150359.882029,82.0,31.7,68.9
1737150360.882116,76.3,32.0,68.9
1737150361.8822584,82.6,32.3,68.9
1737150362.882263,79.8,32.6,68.9
1737150363.8823385,82.1,32.9,68.9
1737150364.8824105,75.5,33.2,68.9
1737150365.882492,84.2,33.5,68.9
1737150366.8825603,82.4,33.9,68.9
1737150367.882642,74.5,34.2,68.9
1737150368.8827174,83.3,34.5,68.9
1737150369.8827856,81.7,34.9,68.9
1737150370.8828623,85.0,35.2,68.9
1737150371.8829582,87.5,35.6,68.9
1737150372.8830163,78.3,35.9,68.9
1737150373.8830912,84.7,36.2,68.9
1737150374.88317,77.8,36.5,68.9
1737150375.8832965,73.0,36.8,68.9
1737150376.8833268,85.1,37.2,68.9
1737150377.8834121,83.2,37.5,68.9
1737150378.8834846,73.1,37.7,68.9
1737150379.8835528,75.4,38.0,68.9
1737150380.8836327,71.8,38.3,68.9
1737150381.8837032,85.3,38.6,68.9
1737150382.8837836,75.0,38.9,68.9
1737150383.8838556,85.3,39.2,68.9
1737150384.884004,87.7,39.5,68.9
1737150385.8840256,83.0,39.8,68.9
1737150386.8841157,87.3,40.2,68.9
1737150387.88418,87.6,40.5,68.9
1737150388.8842685,83.0,40.8,68.9
1737150389.88431,87.2,41.2,68.9
1737150390.8843822,84.1,41.5,68.9
1737150391.8844576,84.1,41.8,68.9
1737150392.8845298,85.0,42.1,68.9
1737150393.88471,72.5,42.4,68.9
1737150394.884692,80.5,42.7,68.9
1737150395.8847637,83.7,43.0,68.9
1737150396.8849142,88.3,43.4,68.9
1737150397.8849313,80.4,43.6,68.9
1737150398.885001,86.5,44.0,68.9
1737150399.8850799,80.4,44.3,68.9
1737150400.885152,82.2,44.6,68.9
1737150401.8852568,80.3,44.9,68.9
1737150402.8853467,73.1,45.2,68.9
1737150403.8854072,85.0,45.5,68.9
1737150404.8855307,85.2,45.8,68.9
1737150405.8856237,83.5,46.1,68.9
1737150406.8856287,81.5,46.4,68.9
1737150407.8857014,90.2,46.7,68.9
1737150408.8857777,89.7,47.1,68.9
1737150409.885851,90.1,47.4,68.9
1737150410.8859286,91.5,47.8,68.9
1737150411.8860114,92.2,48.1,68.9
1737150412.8860986,92.0,48.4,68.9
1737150413.886157,91.7,48.8,68.9
1737150414.8862267,88.4,49.1,68.9
1737150415.8863153,91.7,49.5,68.9
1737150416.88638,92.5,49.8,68.9
1737150417.8864586,92.2,50.1,68.9
1737150418.8865287,92.3,50.5,68.9
1737150419.8866034,92.8,50.8,68.9
1737150420.886675,92.1,51.2,68.9
1737150421.8867755,90.8,51.5,68.9
1737150422.8868303,91.5,51.9,68.9
1737150423.8869116,90.0,52.2,68.9
1737150424.886983,88.6,52.5,68.9
1737150425.8870685,90.3,52.9,68.9
1737150426.8871613,91.6,53.2,68.9
1737150427.88722,89.6,53.5,68.9
1737150428.8872955,91.0,53.9,68.9
1737150429.8873727,91.9,54.2,68.9
1737150430.8874564,91.8,54.6,68.9
1737150431.8875253,91.7,54.9,68.9
1737150432.8875945,90.3,55.3,68.9
1737150433.8876784,91.5,55.6,68.9
1737150434.8877683,91.0,56.0,68.9
1737150435.8878279,85.2,56.3,68.9
1737150436.8879051,90.6,56.6,68.9
1737150437.8879805,90.5,57.0,68.9
1737150438.8880696,90.7,57.3,68.9
1737150439.8881452,92.5,57.7,68.9
1737150440.8882177,91.7,58.0,68.9
1737150441.8882954,92.0,58.4,68.9
1737150442.8883784,92.0,58.7,68.9
1737150443.888442,91.5,59.0,68.9
1737150444.8885188,92.7,59.4,68.9
1737150445.8885937,88.5,59.7,68.9
1737150446.8886745,91.4,60.1,68.9
1737150447.8887644,92.8,60.4,68.9
1737150448.8888307,91.1,60.7,68.9
1737150449.8889103,91.8,61.1,68.9
1737150450.8889916,90.8,61.4,68.9
1737150451.8890567,89.5,61.7,68.9
1737150452.8891363,91.6,62.1,68.9
1737150453.889208,91.3,62.5,68.9
1737150454.8892827,89.8,62.8,68.9
1737150455.889364,87.7,63.2,68.9
1737150456.8894386,89.5,63.5,68.9
1737150457.8895345,91.5,63.9,68.9
1737150458.889591,89.8,64.2,68.9
1737150459.8896673,87.2,64.6,68.9
1737150460.8916092,88.5,65.0,68.9
1737150461.8917375,86.7,65.3,68.9
1737150462.8917866,86.2,65.7,68.9
1737150463.8918595,87.6,66.1,68.9
1737150464.891938,88.9,66.4,68.9
1737150465.8920143,91.1,66.8,68.9
1737150466.892101,85.4,67.2,68.9
1737150467.8921804,88.3,67.5,68.9
1737150468.8925145,89.6,67.9,68.9
1737150469.8923244,89.7,68.3,68.9
1737150470.892379,90.9,68.6,68.9
1737150471.8924634,91.8,69.0,68.9
1737150472.8925369,91.0,69.4,68.9
1737150473.892606,91.6,69.8,68.9
1737150474.8926802,90.5,70.2,68.9
1737150475.8927507,90.7,70.5,68.9
1737150476.8928237,86.0,70.9,68.9
1737150477.8929057,89.3,71.3,68.9
1737150478.8929749,90.0,71.7,68.9
1737150479.89305,89.2,72.1,68.9
1737150480.8931217,90.2,72.4,68.9
1737150481.893197,89.5,72.8,68.9
1737150482.8932846,88.4,73.2,68.9
1737150483.8933558,90.2,73.6,68.9
