Timestamp,CPU Usage (%),Memory Usage (%),Disk Usage (%)
1737196708.4814966,0.0,2.5,68.9
1737196709.4816437,68.6,7.8,68.9
1737196710.481671,82.4,8.2,68.9
1737196711.481723,86.1,8.5,68.9
1737196712.481798,84.1,8.8,68.9
1737196713.4818947,78.9,9.2,68.9
1737196714.4819489,82.0,9.5,68.9
1737196715.4820337,81.3,9.8,68.9
1737196716.4824195,77.1,10.1,68.9
1737196717.4824412,82.6,10.5,68.9
1737196718.4825318,80.2,10.8,68.9
1737196719.4826384,81.5,11.1,68.9
1737196720.4826865,82.0,11.5,68.9
1737196721.4827726,86.7,11.8,68.9
1737196722.4828467,85.1,12.1,68.9
1737196723.4829395,85.1,12.4,68.9
1737196724.4829972,77.3,12.8,68.9
1737196725.4830742,70.9,13.0,68.9
1737196726.4831567,77.3,13.3,68.9
1737196727.4832232,81.4,13.6,68.9
1737196728.4833124,88.1,13.9,68.9
1737196729.4834373,87.5,14.2,68.9
1737196730.4834676,87.9,14.5,68.9
1737196731.483537,83.1,14.8,68.9
1737196732.4836192,86.5,15.1,68.9
1737196733.4836867,80.8,15.4,68.9
1737196734.4837656,81.5,15.7,68.9
1737196735.4839015,71.1,16.0,68.9
1737196736.4839463,85.6,16.3,68.9
1737196737.4840238,87.1,16.6,68.9
1737196738.4841216,85.2,17.0,68.9
1737196739.4841933,85.2,17.3,68.9
1737196740.4842749,81.4,17.6,68.9
1737196741.4843194,84.5,17.9,68.9
1737196742.484439,80.5,18.2,68.9
1737196743.4844794,77.6,18.5,68.9
1737196744.4845548,78.0,18.8,68.9
1737196745.484639,72.4,19.1,68.9
1737196746.4847052,78.7,19.4,68.9
1737196747.4847922,77.9,19.6,68.9
1737196748.484893,68.1,19.9,68.9
1737196749.485071,75.2,20.2,68.9
1737196750.4850562,69.7,20.4,68.9
1737196751.4851239,88.3,20.7,68.9
1737196752.4852037,81.1,21.0,68.9
1737196753.4852839,85.8,21.4,68.9
1737196754.4854224,83.7,21.7,68.9
1737196755.4854398,81.7,22.0,68.9
1737196756.4855146,85.9,22.3,68.9
1737196757.4855993,65.3,22.5,68.9
1737196758.485673,83.8,22.9,68.9
1737196759.4857543,86.2,23.2,68.9
1737196760.485829,86.7,23.5,68.9
1737196761.486103,80.4,23.8,68.9
1737196762.486099,81.9,24.1,68.9
1737196763.486179,79.9,24.5,68.9
1737196764.4862974,86.0,24.8,68.9
1737196765.4863644,87.6,25.1,68.9
1737196766.4864511,83.5,25.3,68.9
1737196767.4865198,95.2,25.7,68.9
1737196768.486601,100.0,26.1,68.9
1737196769.4866776,100.0,26.4,68.9
1737196770.4867592,99.8,26.8,68.9
1737196771.4868524,93.8,27.2,68.9
1737196772.4870093,83.0,27.5,68.9
1737196773.4871063,86.1,27.8,68.9
1737196774.4872098,84.2,28.1,68.9
1737196775.4872215,84.5,28.4,68.9
1737196776.4873004,85.0,28.8,68.9
1737196777.4873664,78.4,29.1,68.9
1737196778.4874885,85.2,29.4,68.9
1737196779.487521,83.8,29.7,68.9
1737196780.4875984,84.6,30.1,68.9
1737196781.4876761,77.9,30.4,68.9
1737196782.487753,86.9,30.7,68.9
1737196783.4878395,84.9,31.0,68.9
1737196784.4879706,80.9,31.3,68.9
1737196785.4879882,85.0,31.7,68.9
1737196786.4880776,75.1,31.9,68.9
1737196787.4881635,84.8,32.3,68.9
1737196788.4882357,77.6,32.6,68.9
1737196789.4883032,82.3,32.9,68.9
1737196790.4884129,78.1,33.2,68.9
1737196791.4884632,84.5,33.5,68.9
1737196792.4885447,79.4,33.9,68.9
1737196793.4886222,81.9,34.2,68.9
1737196794.488704,81.3,34.5,68.9
1737196795.488773,83.0,34.8,68.9
1737196796.4888492,87.1,35.2,68.9
1737196797.4889283,85.7,35.5,68.9
1737196798.4890056,81.5,35.8,68.9
1737196799.4890752,82.8,36.1,68.9
1737196800.489148,84.5,36.4,68.9
1737196801.489238,80.3,36.7,68.9
1737196802.4893062,86.0,37.1,68.9
1737196803.4893882,89.0,37.4,68.9
1737196804.4894528,78.6,37.7,68.9
1737196805.4895253,82.0,38.0,68.9
1737196806.4896066,76.8,38.2,68.9
1737196807.4896886,85.3,38.6,68.9
1737196808.489759,78.1,38.8,68.9
1737196809.489839,86.9,39.2,68.9
1737196810.489913,89.3,39.5,68.9
1737196811.4899952,83.6,39.8,68.9
1737196812.490072,82.5,40.1,68.9
1737196813.4901476,84.7,40.4,68.9
1737196814.490242,84.1,40.7,68.9
1737196815.4903193,84.3,41.1,68.9
1737196816.4904027,84.1,41.4,68.9
1737196817.4904752,82.1,41.7,68.9
1737196818.4905672,82.9,42.0,68.9
1737196819.4906332,81.2,42.1,68.9
1737196820.4907036,76.6,42.4,68.9
1737196821.4907815,89.4,42.7,68.9
1737196822.4908588,88.1,43.0,68.9
1737196823.4909332,82.4,43.3,68.9
1737196824.4910111,81.9,43.6,68.9
1737196825.491088,84.8,43.9,68.9
1737196826.4911697,81.7,44.2,68.9
1737196827.4912508,85.6,44.6,68.9
1737196828.4913292,82.8,44.9,68.9
1737196829.4914093,79.5,45.2,68.9
1737196830.491503,87.2,45.5,68.9
1737196831.4915662,85.5,45.8,68.9
1737196832.4917004,83.2,46.1,68.9
1737196833.4917219,89.1,46.5,68.9
1737196834.4918,89.9,46.8,68.9
1737196835.491877,88.9,47.1,68.9
1737196836.4919508,90.0,47.5,68.9
1737196837.492103,90.8,47.8,68.9
1737196838.4921157,91.7,48.1,68.9
1737196839.4921927,91.0,48.4,68.9
1737196840.4922812,91.2,48.8,68.9
1737196841.4923317,87.3,49.1,68.9
1737196842.4924033,90.2,49.4,68.9
1737196843.4924667,87.6,49.7,68.9
1737196844.4925437,90.6,50.1,68.9
1737196845.4926188,90.8,50.4,68.9
1737196846.4926984,91.0,50.7,68.9
1737196847.4927676,91.7,51.0,68.9
1737196848.492855,91.0,51.4,68.9
1737196849.4929287,92.1,51.7,68.9
1737196850.4930751,92.2,52.1,68.9
1737196851.493081,89.1,52.4,68.9
1737196852.4931533,91.3,52.7,68.9
1737196853.4932272,91.0,53.1,68.9
1737196854.4933078,90.7,53.4,68.9
1737196855.493384,90.5,53.7,68.9
1737196856.4934583,90.7,54.1,68.9
1737196857.4935315,91.6,54.4,68.9
1737196858.4936092,91.5,54.7,68.9
1737196859.4936862,90.6,55.1,68.9
1737196860.4937677,91.5,55.5,68.9
1737196861.4938436,91.3,55.8,68.9
1737196862.4939175,86.1,56.1,68.9
