Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,2.4,68.9
1.0,63.8,7.7,68.9
2.0,68.5,7.9,68.9
3.0,83.2,8.3,68.9
4.0,84.3,8.6,68.9
5.0,80.7,9.0,68.9
6.0,84.2,9.3,68.9
7.0,81.9,9.7,68.9
8.0,81.2,10.0,68.9
9.0,85.3,10.3,68.9
10.0,78.8,10.7,68.9
11.0,83.3,11.0,68.9
12.0,82.9,11.4,68.9
13.0,85.3,11.7,68.9
14.0,86.7,12.0,68.9
15.0,83.7,12.4,68.9
16.0,73.8,12.7,68.9
17.0,73.0,12.9,68.9
18.0,80.9,13.3,68.9
19.0,80.8,13.6,68.9
20.0,86.9,13.9,68.9
21.0,86.8,14.2,68.9
22.0,85.0,14.5,68.9
23.0,85.7,14.8,68.9
24.0,82.5,15.2,68.9
25.0,85.3,15.5,68.9
26.0,81.4,15.8,68.9
27.0,86.1,16.1,68.9
28.0,86.8,16.5,68.9
29.0,85.2,16.8,68.9
30.0,80.5,17.1,68.9
31.0,83.7,17.5,68.9
32.0,88.0,17.8,68.9
33.0,82.7,18.1,68.9
34.0,85.1,18.4,68.9
35.0,85.2,18.8,68.9
36.0,85.7,19.1,68.9
37.0,86.7,19.4,68.9
38.0,81.6,19.7,68.9
39.0,85.0,20.1,68.9
40.0,87.0,20.4,68.9
41.0,83.5,20.8,68.9
42.0,82.2,21.1,68.9
43.0,86.8,21.4,68.9
44.0,85.3,21.7,68.9
45.0,87.2,22.1,68.9
46.0,84.0,22.4,68.9
47.0,85.2,22.7,68.9
48.0,85.9,23.1,68.9
49.0,87.0,23.4,68.9
50.0,81.8,23.7,68.9
51.0,87.5,24.1,68.9
52.0,85.5,24.4,68.9
53.0,88.3,24.6,68.9
54.0,85.2,25.0,68.9
55.0,79.9,25.3,68.9
56.0,85.0,25.7,68.9
57.0,91.8,26.0,68.9
58.0,80.8,26.3,68.9
59.0,82.4,26.7,68.9
60.0,82.7,27.0,68.9
61.01,87.0,27.3,68.9
62.01,86.6,27.7,68.9
63.01,82.4,28.0,68.9
64.01,87.2,28.3,68.9
65.01,85.0,28.7,68.9
66.01,79.8,29.0,68.9
67.01,89.0,29.3,68.9
68.01,85.7,29.7,68.9
69.01,81.3,30.0,68.9
70.01,81.4,30.3,68.9
71.01,87.2,30.7,68.9
72.01,79.4,31.0,68.9
73.01,86.3,31.3,68.9
74.01,79.7,31.7,68.9
75.01,79.6,32.0,68.9
76.01,81.4,32.3,68.9
