Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
0.0,0.0,2.6,44.9
1.0,72.4,2.8,44.9
2.0,75.3,2.8,44.9
3.0,75.2,2.8,44.9
4.0,75.0,2.8,44.9
5.0,75.4,2.8,44.9
6.0,75.1,2.8,44.9
7.0,75.2,2.8,44.9
8.0,74.7,2.8,44.9
9.0,75.3,2.8,44.9
10.0,75.1,2.8,44.9
11.0,74.6,2.8,44.9
12.0,75.2,2.8,44.9
13.0,75.0,2.8,44.9
14.0,75.1,2.8,44.9
15.0,74.8,2.8,44.9
16.0,75.0,2.8,44.9
17.0,75.2,2.8,44.9
18.0,74.7,2.8,44.9
19.0,75.1,2.8,44.9
20.0,75.3,2.8,44.9
21.0,74.2,2.8,44.9
22.0,75.2,2.8,44.9
23.0,74.4,2.8,44.9
24.0,75.2,2.8,44.9
25.0,74.9,2.8,44.9
26.0,75.2,2.8,44.9
27.0,75.1,2.8,44.9
28.0,75.1,2.8,44.9
29.0,75.2,2.8,44.9
30.0,75.1,2.8,44.9
31.0,75.3,2.8,44.9
32.0,74.7,2.8,44.9
33.0,74.9,2.8,44.9
34.0,75.3,2.8,44.9
35.0,75.1,2.8,44.9
36.0,74.9,2.8,44.9
37.0,75.2,2.8,44.9
38.0,75.1,2.8,44.9
39.0,75.3,2.8,44.9
40.0,75.3,2.8,44.9
41.0,75.0,2.8,44.9
42.0,74.9,2.8,44.9
43.0,75.1,2.8,44.9
44.0,75.1,2.8,44.9
45.0,75.2,2.8,44.9
46.0,75.3,2.8,44.9
47.0,74.7,2.8,44.9
48.0,74.6,2.8,44.9
49.0,75.2,2.8,44.9
50.0,75.3,2.8,44.9
51.0,74.8,2.8,44.9
52.0,74.5,2.8,44.9
53.0,75.1,2.8,44.9
54.0,74.7,2.8,44.9
55.0,75.3,2.8,44.9
56.0,75.1,2.8,44.9
57.01,75.2,2.8,44.9
58.01,75.2,2.8,44.9
59.01,75.1,2.8,44.9
60.01,75.1,2.8,44.9
61.01,75.4,2.8,44.9
62.01,75.2,2.8,44.9
63.01,74.6,2.8,44.9
64.01,75.1,2.8,44.9
65.01,75.2,2.8,44.9
66.01,75.1,2.8,44.9
67.01,75.3,2.8,44.9
68.01,75.1,2.8,44.9
69.01,75.1,2.8,44.9
70.01,75.1,2.8,44.9
71.01,75.1,2.8,44.9
72.01,74.7,2.8,44.9
73.01,74.9,2.8,44.9
74.01,75.2,2.8,44.9
75.01,74.8,2.8,44.9
76.01,74.9,2.8,44.9
77.01,75.1,2.8,44.9
78.01,75.5,2.8,44.9
79.01,74.6,2.8,44.9
80.01,75.2,2.8,44.9
81.01,75.2,2.8,44.9
82.01,75.3,2.8,44.9
83.01,74.9,2.8,44.9
84.01,75.1,2.8,44.9
85.01,75.1,2.8,44.9
86.01,75.1,2.8,44.9
87.01,74.8,2.8,44.9
88.01,75.3,2.8,44.9
89.01,74.1,2.8,44.9
90.01,74.8,2.8,44.9
91.01,74.6,2.8,44.9
92.01,75.2,2.8,44.9
93.01,75.3,2.8,44.9
94.01,74.3,2.8,44.9
95.01,74.6,2.8,44.9
96.01,74.7,2.8,44.9
97.01,74.6,2.8,44.9
98.01,75.0,2.9,44.9
99.01,74.3,2.8,44.9
100.01,75.0,2.8,44.9
101.01,74.6,2.8,44.9
102.01,75.0,2.8,44.9
103.01,75.1,2.8,44.9
104.01,74.7,2.8,44.9
105.01,74.6,2.8,44.9
106.01,75.4,2.8,44.9
107.01,75.0,2.8,44.9
108.01,74.7,2.8,44.9
109.01,75.3,2.8,44.9
110.01,75.3,2.8,44.9
111.01,75.0,2.8,44.9
112.01,74.8,2.8,44.9
113.01,75.2,2.8,44.9
114.01,75.1,2.8,44.9
115.01,74.4,2.8,44.9
116.01,75.1,2.8,44.9
117.01,74.0,2.8,44.9
118.01,75.2,2.8,44.9
119.01,75.1,2.8,44.9
120.01,75.0,2.8,44.9
121.01,75.1,2.8,44.9
122.01,75.2,2.8,44.9
123.01,75.3,2.8,44.9
124.01,74.9,2.8,44.9
125.01,75.0,2.8,44.9
126.01,74.0,2.8,44.9
127.01,75.1,2.8,44.9
128.01,75.3,2.8,44.9
129.01,75.3,2.8,44.9
130.01,74.8,2.8,44.9
131.01,74.7,2.8,44.9
132.01,75.3,2.8,44.9
133.01,74.3,2.8,44.9
134.01,75.0,2.8,44.9
135.01,74.8,2.8,44.9
136.01,75.1,2.8,44.9
137.01,74.4,2.8,44.9
138.01,74.6,2.8,44.9
139.01,75.2,2.8,44.9
140.01,74.6,2.8,44.9
141.01,75.3,2.8,44.9
142.01,75.1,2.8,44.9
143.01,75.2,2.8,44.9
144.01,75.1,2.8,44.9
145.01,75.1,2.8,44.9
146.01,75.0,2.8,44.9
147.01,75.1,2.8,44.9
148.01,74.9,2.8,44.9
149.01,74.7,2.8,44.9
150.01,75.2,2.8,44.9
151.01,74.8,2.8,44.9
152.01,74.5,2.8,44.9
153.01,25.9,2.8,44.9
154.01,55.4,2.8,44.9
155.01,74.4,2.8,44.9
156.01,75.1,2.8,44.9
157.01,74.3,2.8,44.9
158.01,75.2,2.8,44.9
159.01,75.2,2.8,44.9
160.01,74.9,2.8,44.9
161.01,75.2,2.8,44.9
162.01,74.8,2.8,44.9
163.01,75.3,2.8,44.9
164.01,73.6,2.8,44.9
165.01,74.4,2.8,44.9
166.01,75.0,2.8,44.9
167.01,75.1,2.8,44.9
168.01,75.1,2.8,44.9
169.01,73.8,2.8,44.9
170.01,72.9,2.8,44.9
171.01,74.8,2.8,44.9
172.01,74.2,2.8,44.9
173.01,74.7,2.8,44.9
174.02,74.6,2.8,44.9
175.02,74.3,2.8,44.9
176.02,74.1,2.8,44.9
177.02,74.3,2.8,44.9
178.02,75.3,2.8,44.9
179.02,74.9,2.8,44.9
180.02,75.3,2.8,44.9
181.02,74.8,2.8,44.9
182.02,75.4,2.8,44.9
183.02,74.9,2.8,44.9
184.02,75.3,2.8,44.9
185.02,75.2,2.8,44.9
186.02,73.9,2.8,44.9
187.02,75.3,2.8,44.9
188.02,74.7,2.8,44.9
189.02,75.1,2.8,44.9
190.02,74.5,2.8,44.9
191.02,74.3,2.8,44.9
192.02,67.9,2.8,44.9
193.02,74.9,2.8,44.9
194.02,75.3,2.8,44.9
195.02,74.8,2.8,44.9
196.02,74.9,2.8,44.9
197.02,75.2,2.8,44.9
198.02,74.2,2.8,44.9
199.02,74.5,2.8,44.9
200.02,74.7,2.8,44.9
201.02,70.9,2.8,44.9
202.02,63.2,2.8,44.9
203.02,67.0,2.8,44.9
204.02,68.0,2.8,44.9
205.02,55.6,2.8,44.9
206.02,67.8,2.8,44.9
207.02,65.6,2.8,44.9
208.02,64.8,2.8,44.9
209.02,75.3,2.8,44.9
210.02,75.3,2.8,44.9
211.02,74.3,2.8,44.9
212.02,75.0,2.8,44.9
213.02,73.3,2.8,44.9
214.02,75.1,2.8,44.9
215.02,59.1,2.8,44.9
216.02,75.2,2.8,44.9
217.02,75.1,2.8,44.9
218.02,74.9,2.8,44.9
219.02,74.4,2.8,44.9
220.02,75.3,2.8,44.9
221.02,75.3,2.8,44.9
222.02,75.3,2.8,44.9
223.02,74.1,2.8,44.9
224.02,74.6,2.8,44.9
225.02,75.3,2.8,44.9
226.02,74.7,2.8,44.9
227.02,75.1,2.8,44.9
228.02,74.9,2.8,44.9
229.02,74.9,2.8,44.9
230.02,74.9,2.8,44.9
231.02,74.6,2.8,44.9
232.02,75.2,2.8,44.9
233.02,74.3,2.8,44.9
234.02,74.9,2.8,44.9
235.02,75.3,2.8,44.9
236.02,74.5,2.8,44.9
237.02,74.8,2.8,44.9
238.02,73.3,2.8,44.9
239.02,75.2,2.8,44.9
240.02,75.1,2.8,44.9
241.02,75.1,2.8,44.9
242.02,75.2,2.8,44.9
243.02,75.2,2.8,44.9
244.02,75.0,2.8,44.9
245.02,74.6,2.8,44.9
246.02,75.3,2.8,44.9
247.02,75.2,2.8,44.9
248.02,73.0,2.8,44.9
249.02,74.4,2.8,44.9
250.02,75.2,2.8,44.9
251.02,75.4,2.8,44.9
252.02,75.0,2.8,44.9
253.02,75.4,2.8,44.9
254.02,75.1,2.8,44.9
255.02,75.2,2.8,44.9
256.02,74.9,2.8,44.9
257.02,74.7,2.8,44.9
258.02,75.1,2.8,44.9
259.02,75.4,2.8,44.9
260.02,74.8,2.8,44.9
261.02,75.3,2.8,44.9
262.02,74.9,2.8,44.9
263.02,74.8,2.8,44.9
264.02,75.1,2.8,44.9
265.02,75.1,2.8,44.9
266.02,75.0,2.8,44.9
267.02,75.2,2.8,44.9
268.02,75.3,2.8,44.9
269.02,72.5,2.8,44.9
270.02,75.3,2.8,44.9
271.02,75.0,2.8,44.9
272.02,75.3,2.8,44.9
273.02,73.8,2.8,44.9
274.02,75.3,2.8,44.9
275.02,74.8,2.8,44.9
276.02,75.2,2.8,44.9
277.02,75.3,2.8,44.9
278.02,74.9,2.8,44.9
279.02,75.4,2.8,44.9
280.02,75.2,2.8,44.9
281.02,75.0,2.8,44.9
282.02,75.0,2.8,44.9
283.02,75.1,2.8,44.9
284.02,75.4,2.8,44.9
285.02,74.7,2.8,44.9
286.02,75.2,2.8,44.9
287.02,75.1,2.8,44.9
288.02,75.2,2.8,44.9
289.02,75.1,2.8,44.9
290.03,75.1,2.8,44.9
291.03,74.9,2.8,44.9
292.03,73.7,2.8,44.9
293.03,75.4,2.8,44.9
294.03,74.5,2.8,44.9
295.03,74.9,2.8,44.9
296.03,75.0,2.8,44.9
297.03,74.6,2.8,44.9
298.03,74.9,2.8,44.9
299.03,74.7,2.8,44.9
300.03,75.3,2.8,44.9
301.03,74.8,2.8,44.9
302.03,75.2,2.8,44.9
303.03,75.2,2.8,44.9
304.03,74.7,2.8,44.9
305.03,75.1,2.8,44.9
306.03,74.2,2.8,44.9
307.03,75.2,2.8,44.9
308.03,74.9,2.8,44.9
309.03,75.3,2.8,44.9
310.03,75.4,2.8,44.9
311.03,74.6,2.8,44.9
312.03,74.9,2.8,44.9
313.03,74.7,2.8,44.9
314.03,75.1,2.8,44.9
315.03,74.8,2.8,44.9
316.03,74.8,2.8,44.9
317.03,75.2,2.8,44.9
318.03,74.6,2.8,44.9
319.03,74.7,2.8,44.9
320.03,75.2,2.8,44.9
321.03,75.3,2.8,44.9
322.03,74.6,2.8,44.9
323.03,74.1,2.8,44.9
324.03,74.6,2.8,44.9
325.03,73.5,2.8,44.9
326.03,75.1,2.8,44.9
327.03,74.8,2.8,44.9
328.03,74.7,2.8,44.9
329.03,74.9,2.8,44.9
330.03,74.7,2.8,44.9
331.03,74.8,2.8,44.9
332.03,70.8,2.8,44.9
333.03,75.0,2.8,44.9
334.03,75.0,2.8,44.9
335.03,74.9,2.8,44.9
336.03,74.7,2.8,44.9
337.03,74.8,2.8,44.9
338.03,75.1,2.8,44.9
339.03,74.5,2.8,44.9
340.03,74.7,2.8,44.9
341.03,74.9,2.8,44.9
342.03,75.2,2.8,44.9
343.03,74.3,2.8,44.9
344.03,74.6,2.8,44.9
345.03,74.9,2.8,44.9
346.03,75.1,2.8,44.9
347.03,74.6,2.8,44.9
348.03,74.3,2.8,44.9
349.03,75.0,2.8,44.9
350.03,75.4,2.8,44.9
351.03,74.1,2.8,44.9
352.03,75.2,2.8,44.9
353.03,74.1,2.8,44.9
354.03,74.8,2.8,44.9
355.03,74.6,2.8,44.9
356.03,75.1,2.8,44.9
357.03,75.3,2.8,44.9
